"Manuscript H-ID","Manuscript Record Title","Holding Institution H-ID","Holding Institution Record Title","Holding Institution Record Title","Call number","IIIF Manifest Link(s)"
15735,"Admont Stiftsbibliothek, Admont Ms.16",122,"Admont Stiftsbibliothek","Admont Stiftsbibliothek","Admont Ms.16",https://manuscripta.at/diglit/iiif/AT1000-16/manifest.json
15790,"Frankfurt am Main, Staats- und Universitäts-bibliothek, MS Barth. 42",162,"Frankfurt am Main, Staats- und Universitäts-bibliothek","Frankfurt am Main, Staats- und Universitäts-bibliothek","MS Barth. 42",https://sammlungen.ub.uni-frankfurt.de/i3f/v20/3644538/manifest
15809,"Freising, Dombibliothek, Alto Ms.Z 00206",18149,"Freising, Dombibliothek","Freising, Dombibliothek","Alto Ms.Z 00206",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00118602/manifest
15810,"Fulda, Landesbibliothek, Ms. Aa 125",24116,"Fulda, Landesbibliothek","Fulda, Landesbibliothek","Ms. Aa 125",https://fuldig.hs-fulda.de/viewer/api/v1/records/PPN313461244/manifest/
15815,"Gent, Universiteitsbibliotheek, Ms.663",172,"Gent, Universiteitsbibliotheek","Gent, Universiteitsbibliotheek",Ms.663,https://adore.ugent.be/IIIF/manifests/archive.ugent.be:44A9D0AA-AECD-11E1-ADB6-0FE0AAF23FF7
15817,"Gent, Universiteitsbibliotheek, Ms.902",172,"Gent, Universiteitsbibliotheek","Gent, Universiteitsbibliotheek",Ms.902,https://adore.ugent.be/IIIF/manifests/archive.ugent.be:721F5050-9BF7-11E8-91E0-9994FB05B1B6
15818,"Gent, Universiteitsbibliotheek, Ms.904",172,"Gent, Universiteitsbibliotheek","Gent, Universiteitsbibliotheek",Ms.904,https://adore.ugent.be/IIIF/manifests/archive.ugent.be:EE56725A-A7C0-11E8-9B98-3685FB05B1B6
15823,"Göttingen University Library, 8° Ms. Ms. theol. 292",174,"Göttingen University Library","Göttingen University Library","8° Ms. Ms. theol. 292",https://manifests.sub.uni-goettingen.de/iiif/presentation/DE-611-HS-3794321/manifest?version=7a696723
15826,"Graz, Universitaetsbibliothek, 36",176,"Graz, Universitaetsbibliothek","Graz, Universitaetsbibliothek",36,https://unipub.uni-graz.at/i3f/v20/9853196/manifest
15828,"Halle, Universitäts- und Landesbibliothek, Qu. Ms. 105",179,"Halle, Universitäts- und Landesbibliothek","Halle, Universitäts- und Landesbibliothek","Qu. Ms. 105",https://opendata.uni-halle.de/explore?bitstream_id=07dc873e-4b55-4d80-b9ad-5c6a302645e6&handle=1981185920/34417&provider=iiif-image&onlyManifest=true
15829,"Halle, Universitäts- und Landesbibliothek, Qu. Ms. 74",179,"Halle, Universitäts- und Landesbibliothek","Halle, Universitäts- und Landesbibliothek","Qu. Ms. 74",https://opendata.uni-halle.de//json/iiif/1981185920/36419/f356e7f8-bc45-4144-a302-588aeaf9d578/manifest
15831,"Hamburg, Staats-und Universitätsbibliothek, Ms. 206 in scrin.",180,"Hamburg, Staats-und Universitätsbibliothek","Hamburg, Staats-und Universitätsbibliothek","Ms. 206 in scrin.",https://iiif.sub.uni-hamburg.de/object/HANSh3286/manifest
15832,"Hamburg, Staats-und Universitätsbibliothek, Ms. 207 in scrin.",180,"Hamburg, Staats-und Universitätsbibliothek","Hamburg, Staats-und Universitätsbibliothek","Ms. 207 in scrin.",https://iiif.sub.uni-hamburg.de/object/PPN1908303921/manifest
15833,"Hamburg, Staats-und Universitätsbibliothek, Ms. 209 in scrin.",180,"Hamburg, Staats-und Universitätsbibliothek","Hamburg, Staats-und Universitätsbibliothek","Ms. 209 in scrin.",https://iiif.sub.uni-hamburg.de/object/PPN1689315318/manifest
